,id,price_value,fake_originality,warranty,size,discrepancy,flavor_odor,expiration_date
0,1052439,0,0,0,0,0,0,0
1,1130800,0,0,0,0,0,0,0
2,1177330,0,0,0,0,0,0,0
3,1047314,1,0,0,0,0,0,0
4,1096710,0,0,0,0,0,0,0
5,1164162,0,0,0,0,0,0,0
6,1012415,0,0,0,0,0,0,0
7,1039627,1,0,0,0,0,0,0
8,1145984,0,0,0,0,0,0,0
9,1268145,0,0,0,0,0,0,0
10,1107967,0,0,0,0,0,0,0
11,1270911,0,0,0,0,0,0,0
12,1014188,0,0,0,0,0,0,0
13,1178055,0,0,0,0,0,0,0
14,1170877,0,0,0,0,0,0,0
15,1141466,0,0,0,0,0,0,0
16,1102101,0,0,0,0,0,0,0
17,1211377,0,0,0,0,0,0,0
18,1030684,0,0,0,0,0,0,0
19,1249583,1,0,0,0,0,0,0
20,1163001,1,0,0,0,0,0,0
21,1257037,0,0,0,0,0,0,0
22,1187792,1,0,0,0,0,0,0
23,1041961,1,0,0,0,0,0,0
24,1202427,1,0,0,0,0,0,0
25,1050725,0,0,0,0,0,0,0
26,1263020,0,0,0,0,0,0,0
27,1258224,0,0,0,0,0,0,0
28,1247740,0,0,0,0,0,0,0
29,1268490,0,0,0,0,0,0,0
30,1185788,0,0,0,0,0,0,0
31,1170334,0,0,0,0,0,0,0
32,1051752,0,0,0,0,0,0,0
33,1095370,0,0,0,0,0,0,0
34,1093211,0,0,0,0,0,0,0
35,1156718,0,0,0,0,0,0,0
36,1035053,1,0,0,0,0,0,0
37,1117183,0,0,0,0,0,0,0
38,1227657,0,0,0,0,0,0,0
39,1113349,0,0,0,0,0,0,0
40,1095850,1,0,0,0,0,0,0
41,1148352,0,0,0,0,0,0,0
42,1061117,0,0,0,0,0,0,0
43,1260898,0,0,0,0,0,0,0
44,1230979,0,0,0,0,0,0,0
45,1014878,0,0,0,0,0,0,0
46,1228550,0,0,0,0,0,0,0
47,1112687,0,0,0,0,0,0,0
48,1190054,0,0,0,0,0,0,0
49,1239685,1,0,0,0,0,0,0
50,1020839,0,0,0,0,0,0,0
51,1218673,1,0,0,0,0,0,0
52,1094811,0,0,0,0,0,0,0
53,1142678,1,0,0,0,0,0,0
54,1152012,0,0,0,0,0,0,0
55,1044758,0,0,0,0,0,0,0
56,1192212,0,0,0,0,0,0,0
57,1093360,0,0,0,0,0,0,0
58,1263193,1,0,0,0,0,0,0
59,1244553,0,0,0,0,0,0,0
60,1012050,0,0,0,0,0,0,0
61,1257339,0,0,0,0,0,0,0
62,1170796,0,0,0,0,0,0,0
63,1251189,0,0,0,0,0,0,0
64,1236797,0,0,0,0,0,0,0
65,1277218,0,0,0,0,0,0,0
66,1180264,1,0,0,0,0,0,0
67,1132794,0,0,0,0,0,0,0
68,1021306,0,0,0,0,0,0,0
69,1063113,1,0,0,0,0,0,0
70,1091098,0,0,0,0,0,0,0
71,1188070,1,0,0,0,0,0,0
72,1107093,1,0,0,0,0,0,0
73,1014549,0,0,0,0,0,0,0
74,1020057,0,0,0,0,0,0,0
75,1064376,0,0,0,0,0,0,0
76,1016663,1,0,0,0,0,0,0
77,1148171,0,0,0,0,0,0,0
78,1203176,1,0,0,0,0,0,0
79,1006795,0,0,0,0,0,0,0
80,1113947,0,0,0,0,0,0,0
81,1073127,0,0,0,0,0,0,0
82,1268473,0,0,0,0,0,0,0
83,1027554,0,0,0,0,0,0,0
84,1139724,0,0,0,0,0,0,0
85,1138524,0,0,0,0,0,0,0
86,1139585,1,0,0,0,0,0,0
87,1099398,0,0,0,0,0,0,0
88,1128178,0,0,0,0,0,0,0
89,1152031,0,0,0,0,0,0,0
90,1174329,1,0,0,0,0,0,0
91,1262079,0,0,0,0,0,0,0
92,1013089,0,0,0,0,0,0,0
93,1249359,0,0,0,0,0,0,0
94,1126085,1,0,0,0,0,0,0
95,1161915,0,0,0,0,0,0,0
96,1012800,0,0,0,0,0,0,0
97,1127891,1,0,0,0,0,0,0
98,1073988,0,0,0,0,0,0,0
99,1201343,1,0,0,0,0,0,0
100,1230169,0,0,0,0,0,0,0
101,1203481,0,0,0,0,0,0,0
102,1179972,0,0,0,0,0,0,0
103,1158735,0,0,0,0,0,0,0
104,1184667,1,0,0,0,0,0,0
105,1180921,0,0,0,0,0,0,0
